id,country,expectancy,rounded_expectancy,continent
207,Gambia,66.2532,66,Africa
208,Congo,66.2041,66,Africa
209,Ghana,65.8857,66,Africa
210,Haiti,65.2979,65,North America
211,Angola,64.9848,65,Africa
212,Guinea-Bissau,64.4108,64,Africa
213,Eswatini,64.4026,64,Africa
214,Cameroon,64.2493,64,Africa
215,Equatorial Guinea,64.1003,64,Africa
216,Madagascar,64.0374,64,Africa
217,Kenya,64.0138,64,Africa
218,Burundi,63.9726,64,Africa
219,Mozambique,63.9686,64,Africa
220,Zimbabwe,63.3459,63,Africa
221,Togo,63.1374,63,Africa
222,Liberia,62.4713,62,Africa
223,Nauru,62.4424,62,Oceania
224,Côte d'Ivoire,62.2782,62,Africa
225,Democratic Republic of the Congo,62.228,62,Africa
226,Sierra Leone,62.1503,62,Africa
227,Niger,61.6597,62,Africa
228,Burkina Faso,61.4729,61,Africa
229,Benin,61.1407,61,Africa
230,Guinea,61.0639,61,Africa
231,Mali,60.8937,61,Africa
232,Somalia,59.1083,59,Africa
233,Lesotho,58.2169,58,Africa
234,Central African Republic,57.9031,58,Africa
235,South Sudan,57.8513,58,Africa
236,Chad,55.4286,55,Africa
237,Nigeria,54.784,55,Africa
